#Vega Scene - Grønt tak, 6.96.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2020-01-18 11:00:00Z;6,784723E-05;0;1
2020-01-19 11:00:00Z;9,96181E-06;0;1
2020-01-20 11:00:00Z;4,041668E-06;0;1
2020-01-21 11:00:00Z;6,274305E-06;0;1
2020-01-22 11:00:00Z;3,395837E-06;0;1
2020-01-23 11:00:00Z;1,84028E-06;0;1
2020-01-24 11:00:00Z;1,013888E-06;0;1
2020-01-25 11:00:00Z;9,166662E-07;0;1
2020-01-26 11:00:00Z;1,027777E-06;0;1
2020-01-27 11:00:00Z;3,580207E-05;0;1
2020-01-28 11:00:00Z;7,472571E-05;0;1
2020-01-29 11:00:00Z;5,900694E-05;0;1
2020-01-30 11:00:00Z;9,878473E-06;0;1
2020-01-31 11:00:00Z;1,210764E-05;0;1
2020-02-01 11:00:00Z;1,861806E-05;0;1
2020-02-02 11:00:00Z;6,406251E-06;0;1
2020-02-03 11:00:00Z;2,440969E-06;0;1
2020-02-04 11:00:00Z;1,451389E-06;0;1
2020-02-05 11:00:00Z;6,805556E-07;0;1
2020-02-06 11:00:00Z;7,569445E-07;0;1
2020-02-07 11:00:00Z;7,84722E-07;0;1
2020-02-08 11:00:00Z;2,840277E-06;0;1
2020-02-09 11:00:00Z;0,0001006458;0;1
2020-02-10 11:00:00Z;2,285417E-05;0;1
2020-02-11 11:00:00Z;4,958328E-06;0;1
2020-02-12 11:00:00Z;2,871527E-06;0;1
2020-02-13 11:00:00Z;1,656252E-06;0;1
2020-02-14 11:00:00Z;6,736109E-07;0;1
2020-02-15 11:00:00Z;3,197917E-06;0;1
2020-02-16 11:00:00Z;0,0001008403;0;1
2020-02-17 11:00:00Z;9,218754E-06;0;1
2020-02-18 11:00:00Z;3,163196E-06;0;1
2020-02-19 11:00:00Z;1,958333E-06;0;1
2020-02-20 11:00:00Z;2,665972E-05;0;1
2020-02-21 11:00:00Z;4,05868E-05;0;1
2020-02-22 11:00:00Z;6,645834E-06;0;1
2020-02-23 11:00:00Z;3,204863E-06;0;1
2020-02-24 11:00:00Z;1,767362E-06;0;1
2020-02-25 11:00:00Z;9,09722E-07;0;1
2020-02-26 11:00:00Z;6,527777E-07;0;1
2020-02-27 11:00:00Z;6,11111E-07;0;1
2020-02-28 11:00:00Z;6,388889E-07;0;1
2020-02-29 11:00:00Z;8,055556E-07;0;1
2020-03-01 11:00:00Z;6,979166E-06;0;1
2020-03-02 11:00:00Z;5,805556E-05;0;1
2020-03-03 11:00:00Z;4,432637E-05;0;1
2020-03-04 11:00:00Z;5,679162E-05;0;1
2020-03-05 11:00:00Z;2,081597E-05;0;1
2020-03-06 11:00:00Z;8,885415E-06;0;1
2020-03-07 11:00:00Z;5,1493E-06;0;1
2020-03-08 11:00:00Z;3,974653E-05;0;1
2020-03-09 11:00:00Z;1,716667E-05;0;1
2020-03-10 11:00:00Z;3,078473E-05;0;1
2020-03-11 11:00:00Z;3,226042E-05;0;1
2020-03-12 11:00:00Z;5,385411E-06;0;1
2020-03-13 11:00:00Z;2,579858E-06;0;1
2020-03-14 11:00:00Z;1,187498E-06;0;1
2020-03-15 11:00:00Z;4,680559E-06;0;1
2020-03-16 11:00:00Z;5,631944E-06;0;1
2020-03-17 11:00:00Z;2,510413E-06;0;1
2020-03-18 11:00:00Z;1,114582E-06;0;1
2020-03-19 11:00:00Z;8,472225E-07;0;1
2020-03-20 11:00:00Z;8,819442E-07;0;1
2020-03-21 11:00:00Z;8,402777E-07;0;1
2020-03-22 11:00:00Z;8,75E-07;0;1
2020-03-23 11:00:00Z;8,888886E-07;0;1
2020-03-24 11:00:00Z;9,583327E-07;0;1
2020-03-25 11:00:00Z;9,513885E-07;0;1
2020-03-26 11:00:00Z;9,79166E-07;0;1
2020-03-27 11:00:00Z;9,791657E-07;0;1
2020-03-28 11:00:00Z;8,749997E-07;0;1
2020-03-29 11:00:00Z;9,513883E-07;0;1
2020-03-30 11:00:00Z;9,861101E-07;0;1
2020-03-31 11:00:00Z;9,791661E-07;0;1
2020-04-01 11:00:00Z;9,791659E-07;0;1
2020-04-02 11:00:00Z;9,722216E-07;0;1
2020-04-03 11:00:00Z;9,791661E-07;0;1
2020-04-04 11:00:00Z;9,652771E-07;0;1
