#Vega Scene - Grønt tak, 6.96.0, Vannføring, time
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2023-06-25 00:00:00Z;1,058333E-06;0;1
2023-06-25 01:00:00Z;1,1E-06;0;1
2023-06-25 02:00:00Z;1,016667E-06;0;1
2023-06-25 03:00:00Z;1,133333E-06;0;1
2023-06-25 04:00:00Z;1,033333E-06;0;1
2023-06-25 05:00:00Z;1,075E-06;0;1
2023-06-25 06:00:00Z;1,058333E-06;0;1
2023-06-25 07:00:00Z;1,016667E-06;0;1
2023-06-25 08:00:00Z;1,266667E-06;0;1
2023-06-25 09:00:00Z;1,191667E-06;0;1
2023-06-25 10:00:00Z;1,133333E-06;0;1
2023-06-25 11:00:00Z;1,191667E-06;0;1
2023-06-25 12:00:00Z;1,083333E-06;0;1
2023-06-25 13:00:00Z;1,025E-06;0;1
2023-06-25 14:00:00Z;1,066667E-06;0;1
2023-06-25 15:00:00Z;1,091667E-06;0;1
2023-06-25 16:00:00Z;1,125E-06;0;1
2023-06-25 17:00:00Z;1,116667E-06;0;1
2023-06-25 18:00:00Z;1,1E-06;0;1
2023-06-25 19:00:00Z;1,1E-06;0;1
2023-06-25 20:00:00Z;1,083333E-06;0;1
2023-06-25 21:00:00Z;1,066667E-06;0;1
2023-06-25 22:00:00Z;1,05E-06;0;1
2023-06-25 23:00:00Z;1,166667E-06;0;1
2023-06-26 00:00:00Z;1,091667E-06;0;1
2023-06-26 01:00:00Z;1,1E-06;0;1
2023-06-26 02:00:00Z;1,083333E-06;0;1
2023-06-26 03:00:00Z;1,008333E-06;0;1
2023-06-26 04:00:00Z;1,125E-06;0;1
2023-06-26 05:00:00Z;1,041667E-06;0;1
2023-06-26 06:00:00Z;9,416667E-07;0;1
2023-06-26 07:00:00Z;1,133334E-06;0;1
2023-06-26 08:00:00Z;1,125E-06;0;1
2023-06-26 09:00:00Z;1,1E-06;0;1
2023-06-26 10:00:00Z;1,091667E-06;0;1
2023-06-26 11:00:00Z;1,025E-06;0;1
2023-06-26 12:00:00Z;1,125E-06;0;1
2023-06-26 13:00:00Z;1,066667E-06;0;1
2023-06-26 14:00:00Z;1,15E-06;0;1
2023-06-26 15:00:00Z;1,116667E-06;0;1
2023-06-26 16:00:00Z;3,516667E-06;0;1
2023-06-26 17:00:00Z;8,550001E-06;0;1
2023-06-26 18:00:00Z;9,158335E-06;0;1
2023-06-26 19:00:00Z;5,316666E-06;0;1
2023-06-26 20:00:00Z;3,691666E-06;0;1
2023-06-26 21:00:00Z;1,045833E-05;0;1
2023-06-26 22:00:00Z;1,421667E-05;0;1
2023-06-26 23:00:00Z;1,376667E-05;0;1
2023-06-27 00:00:00Z;1,134167E-05;0;1
2023-06-27 01:00:00Z;8,658335E-06;0;1
2023-06-27 02:00:00Z;6,375E-06;0;1
2023-06-27 03:00:00Z;4,658335E-06;0;1
2023-06-27 04:00:00Z;3,591667E-06;0;1
2023-06-27 05:00:00Z;3,133333E-06;0;1
2023-06-27 06:00:00Z;2,475E-06;0;1
2023-06-27 07:00:00Z;2,425E-06;0;1
2023-06-27 08:00:00Z;2,116667E-06;0;1
2023-06-27 09:00:00Z;1,916667E-06;0;1
2023-06-27 10:00:00Z;1,875E-06;0;1
2023-06-27 11:00:00Z;1,991667E-06;0;1
2023-06-27 12:00:00Z;1,891667E-06;0;1
2023-06-27 13:00:00Z;1,741667E-06;0;1
2023-06-27 14:00:00Z;1,65E-06;0;1
2023-06-27 15:00:00Z;1,591667E-06;0;1
2023-06-27 16:00:00Z;1,566667E-06;0;1
2023-06-27 17:00:00Z;1,533333E-06;0;1
2023-06-27 18:00:00Z;1,683333E-06;0;1
2023-06-27 19:00:00Z;2,791667E-06;0;1
2023-06-27 20:00:00Z;2,483333E-06;0;1
2023-06-27 21:00:00Z;2,016667E-06;0;1
2023-06-27 22:00:00Z;1,975E-06;0;1
2023-06-27 23:00:00Z;1,833333E-06;0;1
2023-06-28 00:00:00Z;1,716667E-06;0;1
2023-06-28 01:00:00Z;1,575E-06;0;1
2023-06-28 02:00:00Z;1,533333E-06;0;1
2023-06-28 03:00:00Z;1,333333E-06;0;1
2023-06-28 04:00:00Z;1,441667E-06;0;1
2023-06-28 05:00:00Z;1,25E-06;0;1
2023-06-28 06:00:00Z;1,183333E-06;0;1
2023-06-28 07:00:00Z;1,283333E-06;0;1
2023-06-28 08:00:00Z;1,241666E-06;0;1
2023-06-28 09:00:00Z;1,225E-06;0;1
2023-06-28 10:00:00Z;1,141667E-06;0;1
2023-06-28 11:00:00Z;1,166667E-06;0;1
2023-06-28 12:00:00Z;1,233333E-06;0;1
2023-06-28 13:00:00Z;1,041667E-06;0;1
2023-06-28 14:00:00Z;1,191667E-06;0;1
2023-06-28 15:00:00Z;9,916669E-07;0;1
2023-06-28 16:00:00Z;1,166667E-06;0;1
2023-06-28 17:00:00Z;1,266667E-06;0;1
2023-06-28 18:00:00Z;1,241667E-06;0;1
2023-06-28 19:00:00Z;1,125E-06;0;1
2023-06-28 20:00:00Z;1,241667E-06;0;1
2023-06-28 21:00:00Z;1,133333E-06;0;1
2023-06-28 22:00:00Z;1,158333E-06;0;1
2023-06-28 23:00:00Z;1,175E-06;0;1
2023-06-29 00:00:00Z;1,25E-06;0;1
2023-06-29 01:00:00Z;1,041667E-06;0;1
2023-06-29 02:00:00Z;1,125E-06;0;1
2023-06-29 03:00:00Z;1,075E-06;0;1
2023-06-29 04:00:00Z;1,133333E-06;0;1
2023-06-29 05:00:00Z;1,15E-06;0;1
2023-06-29 06:00:00Z;1,108333E-06;0;1
2023-06-29 07:00:00Z;1,158333E-06;0;1
2023-06-29 08:00:00Z;1,116667E-06;0;1
2023-06-29 09:00:00Z;1,141667E-06;0;1
2023-06-29 10:00:00Z;1,008333E-06;0;1
2023-06-29 11:00:00Z;1,091667E-06;0;1
2023-06-29 12:00:00Z;8,833334E-07;0;1
2023-06-29 13:00:00Z;1,041667E-06;0;1
2023-06-29 14:00:00Z;1,058333E-06;0;1
2023-06-29 15:00:00Z;1,133334E-06;0;1
2023-06-29 16:00:00Z;1,108333E-06;0;1
2023-06-29 17:00:00Z;1,175E-06;0;1
2023-06-29 18:00:00Z;1,033333E-06;0;1
2023-06-29 19:00:00Z;1,275E-06;0;1
2023-06-29 20:00:00Z;1,075E-06;0;1
2023-06-29 21:00:00Z;9,666667E-07;0;1
2023-06-29 22:00:00Z;1,141667E-06;0;1
2023-06-29 23:00:00Z;1,258333E-06;0;1
