#Vega Scene - Grønt tak, 6.96.0, Nedbør, dogn
Tidspunkt;Nedbør (mm);Korrigert;Kontrollert
2021-09-23 23:00:00Z;0;0;1
2021-09-24 23:00:00Z;0,48;0;1
2021-09-25 23:00:00Z;0;0;1
2021-09-26 23:00:00Z;0;0;1
2021-09-27 23:00:00Z;9,329999;0;1
2021-09-28 23:00:00Z;4,609999;0;1
2021-09-29 23:00:00Z;1,93;0;1
2021-09-30 23:00:00Z;16,07;0;1
2021-10-01 23:00:00Z;19,21;0;1
2021-10-02 23:00:00Z;21,82;0;1
2021-10-03 23:00:00Z;29,1;0;1
2021-10-04 23:00:00Z;6,199999;0;1
2021-10-05 23:00:00Z;9,32;0;1
2021-10-06 23:00:00Z;0,6599998;0;1
2021-10-07 23:00:00Z;0;0;1
2021-10-08 23:00:00Z;6,27;0;1
2021-10-09 23:00:00Z;0;0;1
2021-10-10 23:00:00Z;3,41;0;1
2021-10-11 23:00:00Z;0,14;0;1
2021-10-12 23:00:00Z;0,03;0;1
2021-10-13 23:00:00Z;0,13;0;1
2021-10-14 23:00:00Z;0;0;1
2021-10-15 23:00:00Z;0;0;1
2021-10-16 23:00:00Z;0;0;1
2021-10-17 23:00:00Z;0;0;1
2021-10-18 23:00:00Z;0;0;1
2021-10-19 23:00:00Z;14,91;0;1
2021-10-20 23:00:00Z;0,6199999;0;1
2021-10-21 23:00:00Z;0;0;1
2021-10-22 23:00:00Z;0;0;1
2021-10-23 23:00:00Z;0;0;1
2021-10-24 23:00:00Z;0;0;1
2021-10-25 23:00:00Z;0,54;0;1
2021-10-26 23:00:00Z;0;0;1
2021-10-27 23:00:00Z;6,939999;0;1
2021-10-28 23:00:00Z;1,72;0;1
2021-10-29 23:00:00Z;0,24;0;1
2021-10-30 23:00:00Z;3,22;0;1
2021-10-31 23:00:00Z;6,239999;0;1
2021-11-01 23:00:00Z;11,05;0;1
2021-11-02 23:00:00Z;0,13;0;1
2021-11-03 23:00:00Z;0,07;0;1
2021-11-04 23:00:00Z;0;0;1
2021-11-05 23:00:00Z;0;0;1
2021-11-06 23:00:00Z;2,01;0;1
2021-11-07 23:00:00Z;7,849998;0;1
2021-11-08 23:00:00Z;0,2;0;1
2021-11-09 23:00:00Z;5,84;0;1
2021-11-10 23:00:00Z;0;0;1
2021-11-11 23:00:00Z;0;0;1
2021-11-12 23:00:00Z;0,4;0;1
2021-11-13 23:00:00Z;0,09;0;1
2021-11-14 23:00:00Z;0;0;1
2021-11-15 23:00:00Z;0,09999999;0;1
2021-11-16 23:00:00Z;0;0;1
2021-11-17 23:00:00Z;5,289999;0;1
2021-11-18 23:00:00Z;0,07;0;1
2021-11-19 23:00:00Z;0,11;0;1
2021-11-20 23:00:00Z;0;0;1
2021-11-21 23:00:00Z;0,07999999;0;1
2021-11-22 23:00:00Z;0;0;1
2021-11-23 23:00:00Z;0;0;1
2021-11-24 23:00:00Z;0;0;1
2021-11-25 23:00:00Z;0;0;1
2021-11-26 23:00:00Z;0;0;1
2021-11-27 23:00:00Z;0,19;0;1
2021-11-28 23:00:00Z;0,009999999;0;1
2021-11-29 23:00:00Z;0,05;0;1
2021-11-30 23:00:00Z;2,819999;0;1
2021-12-01 23:00:00Z;0;0;1
2021-12-02 23:00:00Z;0;0;1
2021-12-03 23:00:00Z;0,35;0;1
2021-12-04 23:00:00Z;0,009999999;0;1
2021-12-05 23:00:00Z;0;0;1
2021-12-06 23:00:00Z;0,07;0;1
2021-12-07 23:00:00Z;0,12;0;1
2021-12-08 23:00:00Z;0,55;0;1
2021-12-09 23:00:00Z;1,81;0;1
2021-12-10 23:00:00Z;0,76;0;1
2021-12-11 23:00:00Z;0,14;0;1
2021-12-12 23:00:00Z;3,819999;0;1
2021-12-13 23:00:00Z;1,6;0;1
2021-12-14 23:00:00Z;0;0;1
2021-12-15 23:00:00Z;0;0;1
2021-12-16 23:00:00Z;0;0;1
2021-12-17 23:00:00Z;0;0;1
2021-12-18 23:00:00Z;0,05999999;0;1
2021-12-19 23:00:00Z;0,24;0;1
2021-12-20 23:00:00Z;0;0;1
2021-12-21 23:00:00Z;1,18;0;1
2021-12-22 23:00:00Z;1,91;0;1
2021-12-23 23:00:00Z;0;0;1
2021-12-24 23:00:00Z;0;0;1
2021-12-25 23:00:00Z;0;0;1
2021-12-26 23:00:00Z;0;0;1
2021-12-27 23:00:00Z;0;0;1
2021-12-28 23:00:00Z;7,269999;0;1
2021-12-29 23:00:00Z;0;0;1
2021-12-30 23:00:00Z;2,549999;0;1
2021-12-31 23:00:00Z;0;0;1
2022-01-01 23:00:00Z;7,130001;0;1
2022-01-02 23:00:00Z;0,05;0;1
2022-01-03 23:00:00Z;0,6899999;0;1
2022-01-04 23:00:00Z;0;0;1
2022-01-05 23:00:00Z;0;0;1
2022-01-06 23:00:00Z;0;0;1
